channel_1,channel_2,distance
158,155,37.16180835212409
158,159,35.510561809129406
159,112,46.45427859734774
159,113,46.45427859734774
159,118,35.22782990761707
159,144,25.514701644346147
159,146,25.514701644346147
159,147,51.07837115648854
159,148,51.07837115648854
159,158,35.510561809129406
160,110,34.36568055487916
160,116,43.37049688440288
160,132,43.37049688440288
160,138,27.294688127912362
160,162,27.294688127912362
161,111,34.36568055487916
161,117,43.37049688440288
161,133,43.37049688440288
161,139,27.294688127912362
161,163,27.294688127912362
162,110,43.42810150121693
162,116,30.56141357987225
162,149,42.67317658670374
162,151,26.832815729997478
162,153,43.78355855797927
162,160,27.294688127912362
163,111,43.42810150121693
163,117,30.56141357987225
163,145,43.78355855797927
163,150,42.67317658670374
163,152,26.832815729997478
163,161,27.294688127912362
