channel_1,channel_2,distance
101,103,31.28897569432403
101,105,37.16180835212409
101,120,36.61966684720111
101,122,28.861739379323623
101,124,35.014282800023196
101,126,50.78385570237849
101,135,29.30870177950569
101,137,46.32493928760188
102,104,31.28897569432403
102,105,37.16180835212409
102,121,36.61966684720111
102,123,28.861739379323623
102,125,35.014282800023196
102,127,50.78385570237849
102,136,29.30870177950569
102,137,46.32493928760188
103,101,31.28897569432403
103,122,48.60041152089147
103,124,33.18132004607411
103,126,28.284271247461902
103,135,26.832815729997478
104,102,31.28897569432403
104,123,48.60041152089147
104,125,33.18132004607411
104,127,28.284271247461902
104,136,26.832815729997478
105,101,37.16180835212409
105,102,37.16180835212409
105,120,40.620192023179804
105,121,40.620192023179804
105,135,43.42810150121693
105,136,43.42810150121693
105,137,34.36568055487916
105,140,35.510561809129406
106,108,35.22782990761707
106,112,33.74907406137241
106,114,47.02127178203499
106,118,48.08326112068523
106,119,34.713109915419565
106,128,33.74907406137241
106,130,47.02127178203499
106,134,48.08326112068523
107,109,35.22782990761707
107,113,33.74907406137241
107,115,47.02127178203499
107,118,48.08326112068523
107,119,34.713109915419565
107,129,33.74907406137241
107,131,47.02127178203499
107,134,48.08326112068523
108,106,35.22782990761707
108,110,35.510561809129406
108,112,46.45427859734774
108,114,31.654383582688826
108,116,47.75981574503821
108,128,46.45427859734774
108,130,31.654383582688826
108,132,47.75981574503821
109,107,35.22782990761707
109,111,35.510561809129406
109,113,46.45427859734774
109,115,31.654383582688826
109,117,47.75981574503821
109,129,46.45427859734774
109,131,31.654383582688826
109,133,47.75981574503821
110,108,35.510561809129406
110,114,45.98912915026767
110,116,30.528675044947494
110,130,45.98912915026767
110,132,30.528675044947494
110,138,43.42810150121693
110,160,34.36568055487916
110,162,43.42810150121693
111,109,35.510561809129406
111,115,45.98912915026767
111,117,30.528675044947494
111,131,45.98912915026767
111,133,30.528675044947494
111,139,43.42810150121693
111,161,34.36568055487916
111,163,43.42810150121693
112,106,33.74907406137241
112,108,46.45427859734774
112,114,31.68595903550972
112,118,33.74907406137241
112,119,48.72371086031933
112,144,35.05709628591621
112,147,42.43819034784589
112,159,46.45427859734774
113,107,33.74907406137241
113,109,46.45427859734774
113,115,31.68595903550972
113,118,33.74907406137241
113,119,48.72371086031933
113,146,35.05709628591621
113,148,42.43819034784589
113,159,46.45427859734774
114,106,47.02127178203499
114,108,31.654383582688826
114,110,45.98912915026767
114,112,31.68595903550972
114,116,34.68429039204925
114,144,46.010868281309364
114,147,32.38826948140329
114,149,41.10960958218893
115,107,47.02127178203499
115,109,31.654383582688826
115,111,45.98912915026767
115,113,31.68595903550972
115,117,34.68429039204925
115,146,46.010868281309364
115,148,32.38826948140329
115,150,41.10960958218893
116,108,47.75981574503821
116,110,30.528675044947494
116,114,34.68429039204925
116,147,45.05552130427524
116,149,28.930952282978865
116,151,37.282703764614496
116,160,43.37049688440288
116,162,30.56141357987225
117,109,47.75981574503821
117,111,30.528675044947494
117,115,34.68429039204925
117,148,45.05552130427524
117,150,28.930952282978865
117,152,37.282703764614496
117,161,43.37049688440288
117,163,30.56141357987225
118,106,48.08326112068523
118,107,48.08326112068523
118,112,33.74907406137241
118,113,33.74907406137241
118,119,34.713109915419565
118,144,45.09988913511872
118,146,45.09988913511872
118,159,35.22782990761707
119,106,34.713109915419565
119,107,34.713109915419565
119,112,48.72371086031933
119,113,48.72371086031933
119,118,34.713109915419565
119,128,48.72371086031933
119,129,48.72371086031933
119,134,34.713109915419565
120,101,36.61966684720111
120,105,40.620192023179804
120,121,50.0
120,122,26.115129714401192
120,124,51.56549233741495
120,128,35.05709628591621
120,130,46.010868281309364
120,134,45.09988913511872
120,140,25.514701644346147
121,102,36.61966684720111
121,105,40.620192023179804
121,120,50.0
121,123,26.115129714401192
121,125,51.56549233741495
121,129,35.05709628591621
121,131,46.010868281309364
121,134,45.09988913511872
121,140,25.514701644346147
122,101,28.861739379323623
122,103,48.60041152089147
122,120,26.115129714401192
122,124,26.70205984563738
122,128,42.43819034784589
122,130,32.38826948140329
122,132,45.05552130427524
122,140,51.07837115648854
123,102,28.861739379323623
123,104,48.60041152089147
123,121,26.115129714401192
123,125,26.70205984563738
123,129,42.43819034784589
123,131,32.38826948140329
123,133,45.05552130427524
123,140,51.07837115648854
124,101,35.014282800023196
124,103,33.18132004607411
124,120,51.56549233741495
124,122,26.70205984563738
124,126,27.2213151776324
124,130,41.10960958218893
124,132,28.930952282978865
124,138,42.67317658670374
125,102,35.014282800023196
125,104,33.18132004607411
125,121,51.56549233741495
125,123,26.70205984563738
125,127,27.2213151776324
125,131,41.10960958218893
125,133,28.930952282978865
125,139,42.67317658670374
126,101,50.78385570237849
126,103,28.284271247461902
126,124,27.2213151776324
126,132,37.282703764614496
126,138,26.832815729997478
127,102,50.78385570237849
127,104,28.284271247461902
127,125,27.2213151776324
127,133,37.282703764614496
127,139,26.832815729997478
128,106,33.74907406137241
128,108,46.45427859734774
128,119,48.72371086031933
128,120,35.05709628591621
128,122,42.43819034784589
128,130,31.68595903550972
128,134,33.74907406137241
128,140,46.45427859734774
129,107,33.74907406137241
129,109,46.45427859734774
129,119,48.72371086031933
129,121,35.05709628591621
129,123,42.43819034784589
129,131,31.68595903550972
129,134,33.74907406137241
129,140,46.45427859734774
130,106,47.02127178203499
130,108,31.654383582688826
130,110,45.98912915026767
130,120,46.010868281309364
130,122,32.38826948140329
130,124,41.10960958218893
130,128,31.68595903550972
130,132,34.68429039204925
131,107,47.02127178203499
131,109,31.654383582688826
131,111,45.98912915026767
131,121,46.010868281309364
131,123,32.38826948140329
131,125,41.10960958218893
131,129,31.68595903550972
131,133,34.68429039204925
132,108,47.75981574503821
132,110,30.528675044947494
132,122,45.05552130427524
132,124,28.930952282978865
132,126,37.282703764614496
132,130,34.68429039204925
132,138,30.56141357987225
132,160,43.37049688440288
133,109,47.75981574503821
133,111,30.528675044947494
133,123,45.05552130427524
133,125,28.930952282978865
133,127,37.282703764614496
133,131,34.68429039204925
133,139,30.56141357987225
133,161,43.37049688440288
134,106,48.08326112068523
134,107,48.08326112068523
134,119,34.713109915419565
134,120,45.09988913511872
134,121,45.09988913511872
134,128,33.74907406137241
134,129,33.74907406137241
134,140,35.22782990761707
135,101,29.30870177950569
135,103,26.832815729997478
135,105,43.42810150121693
135,137,27.294688127912362
136,102,29.30870177950569
136,104,26.832815729997478
136,105,43.42810150121693
136,137,27.294688127912362
137,101,46.32493928760188
137,102,46.32493928760188
137,105,34.36568055487916
137,135,27.294688127912362
137,136,27.294688127912362
138,110,43.42810150121693
138,124,42.67317658670374
138,126,26.832815729997478
138,132,30.56141357987225
138,160,27.294688127912362
139,111,43.42810150121693
139,125,42.67317658670374
139,127,26.832815729997478
139,133,30.56141357987225
139,161,27.294688127912362
140,105,35.510561809129406
140,120,25.514701644346147
140,121,25.514701644346147
140,122,51.07837115648854
140,123,51.07837115648854
140,128,46.45427859734774
140,129,46.45427859734774
140,134,35.22782990761707
141,143,27.294688127912362
141,154,29.30870177950569
141,156,26.832815729997478
141,158,43.42810150121693
142,143,27.294688127912362
142,155,29.30870177950569
142,157,26.832815729997478
142,158,43.42810150121693
143,141,27.294688127912362
143,142,27.294688127912362
143,154,46.32493928760188
143,155,46.32493928760188
143,158,34.36568055487916
144,112,35.05709628591621
144,114,46.010868281309364
144,118,45.09988913511872
144,146,50.0
144,147,26.115129714401192
144,149,51.56549233741495
144,154,36.61966684720111
144,158,40.620192023179804
144,159,25.514701644346147
145,152,34.942810419312295
145,157,43.60045871318328
145,163,43.78355855797927
146,113,35.05709628591621
146,115,46.010868281309364
146,118,45.09988913511872
146,144,50.0
146,148,26.115129714401192
146,150,51.56549233741495
146,155,36.61966684720111
146,158,40.620192023179804
146,159,25.514701644346147
147,112,42.43819034784589
147,114,32.38826948140329
147,116,45.05552130427524
147,144,26.115129714401192
147,149,26.70205984563738
147,154,28.861739379323623
147,156,48.60041152089147
147,159,51.07837115648854
148,113,42.43819034784589
148,115,32.38826948140329
148,117,45.05552130427524
148,146,26.115129714401192
148,150,26.70205984563738
148,155,28.861739379323623
148,157,48.60041152089147
148,159,51.07837115648854
149,114,41.10960958218893
149,116,28.930952282978865
149,144,51.56549233741495
149,147,26.70205984563738
149,151,27.2213151776324
149,154,35.014282800023196
149,156,33.18132004607411
149,162,42.67317658670374
150,115,41.10960958218893
150,117,28.930952282978865
150,146,51.56549233741495
150,148,26.70205984563738
150,152,27.2213151776324
150,155,35.014282800023196
150,157,33.18132004607411
150,163,42.67317658670374
151,116,37.282703764614496
151,149,27.2213151776324
151,153,34.942810419312295
151,154,50.78385570237849
151,156,28.284271247461902
151,162,26.832815729997478
152,117,37.282703764614496
152,145,34.942810419312295
152,150,27.2213151776324
152,155,50.78385570237849
152,157,28.284271247461902
152,163,26.832815729997478
153,151,34.942810419312295
153,156,43.60045871318328
153,162,43.78355855797927
154,141,29.30870177950569
154,143,46.32493928760188
154,144,36.61966684720111
154,147,28.861739379323623
154,149,35.014282800023196
154,151,50.78385570237849
154,156,31.28897569432403
154,158,37.16180835212409
155,142,29.30870177950569
155,143,46.32493928760188
155,146,36.61966684720111
155,148,28.861739379323623
155,150,35.014282800023196
155,152,50.78385570237849
155,157,31.28897569432403
155,158,37.16180835212409
156,141,26.832815729997478
156,147,48.60041152089147
156,149,33.18132004607411
156,151,28.284271247461902
156,153,43.60045871318328
156,154,31.28897569432403
157,142,26.832815729997478
157,145,43.60045871318328
157,148,48.60041152089147
157,150,33.18132004607411
157,152,28.284271247461902
157,155,31.28897569432403
158,141,43.42810150121693
158,142,43.42810150121693
158,143,34.36568055487916
158,144,40.620192023179804
158,146,40.620192023179804
158,154,37.16180835212409
