sensor1_id,sensor2_id,fband,weight_raw,weight_adj
1001235,1001236,DELTA,0.0,0.0
1001235,1001222,DELTA,0.0,0.0
1001235,1001223,DELTA,0.0,0.0
1001235,1001208,DELTA,0.0,0.0
1001235,1001209,DELTA,0.0,0.0
1001235,1001247,DELTA,0.0,0.0
1001235,1001248,DELTA,0.0,0.0
1001235,1001241,DELTA,0.0,0.0
1001235,1001242,DELTA,0.0,0.0
1001235,1001226,DELTA,0.0,0.0
1001235,1001227,DELTA,0.0,0.0
1001235,1001260,DELTA,0.0,0.0
1001235,1001261,DELTA,0.0,0.0
1001235,1001251,DELTA,0.0,0.0
1001235,1001252,DELTA,0.0,0.0
1001235,1001240,DELTA,0.0,0.0
1001235,1001219,DELTA,0.0,0.0
1001235,1001259,DELTA,0.0,0.0
1001235,1001243,DELTA,0.0,0.0
1001235,1001228,DELTA,0.0,0.0
1001235,1001229,DELTA,0.0,0.0
1001235,1001212,DELTA,0.0,0.0
1001235,1001213,DELTA,0.0,0.0
1001235,1001232,DELTA,0.0,0.0
1001235,1001233,DELTA,0.0,0.0
1001235,1001216,DELTA,0.0,0.0
1001235,1001217,DELTA,0.0,0.0
1001235,1001244,DELTA,0.0,0.0
1001235,1001246,DELTA,0.0,0.0
1001235,1001206,DELTA,0.0,0.0
1001235,1001207,DELTA,0.0,0.0
1001235,1001201,DELTA,0.0,0.0
1001235,1001202,DELTA,0.0,0.0
1001235,1001230,DELTA,0.0,0.0
1001235,1001231,DELTA,0.0,0.0
1001235,1001214,DELTA,0.0,0.0
1001235,1001215,DELTA,0.0,0.0
1001235,1001254,DELTA,0.0,0.0
1001235,1001255,DELTA,0.0,0.0
1001235,1001224,DELTA,0.0,0.0
1001235,1001225,DELTA,0.0,0.0
1001235,1001210,DELTA,0.0,0.0
1001235,1001211,DELTA,0.0,0.0
1001235,1001249,DELTA,0.0,0.0
1001235,1001250,DELTA,0.0,0.0
1001235,1001238,DELTA,0.0,0.0
1001235,1001239,DELTA,0.0,0.0
1001235,1001262,DELTA,0.0,0.0
1001235,1001263,DELTA,0.0,0.0
1001235,1001256,DELTA,0.0,0.0
1001235,1001257,DELTA,0.0,0.0
1001235,1001237,DELTA,0.0,0.0
1001235,1001218,DELTA,0.0,0.0
1001235,1001258,DELTA,0.0,0.0
1001236,1001235,DELTA,0.9580555094837422,0.0
1001236,1001222,DELTA,0.0,0.0
1001236,1001223,DELTA,0.0,0.0
1001236,1001208,DELTA,0.0,0.0
1001236,1001209,DELTA,0.0,0.0
1001236,1001247,DELTA,0.0,0.0
1001236,1001248,DELTA,0.0,0.0
1001236,1001241,DELTA,0.0,0.0
1001236,1001242,DELTA,0.0,0.0
1001236,1001226,DELTA,0.0,0.0
1001236,1001227,DELTA,0.0,0.0
1001236,1001260,DELTA,0.0,0.0
1001236,1001261,DELTA,0.0,0.0
1001236,1001251,DELTA,0.0,0.0
1001236,1001252,DELTA,0.0,0.0
1001236,1001240,DELTA,0.0,0.0
1001236,1001219,DELTA,0.0,0.0
1001236,1001259,DELTA,0.0,0.0
1001236,1001243,DELTA,0.0,0.0
1001236,1001228,DELTA,0.0,0.0
1001236,1001229,DELTA,0.0,0.0
1001236,1001212,DELTA,0.0,0.0
1001236,1001213,DELTA,0.0,0.0
1001236,1001232,DELTA,0.0,0.0
1001236,1001233,DELTA,0.0,0.0
1001236,1001216,DELTA,0.0,0.0
1001236,1001217,DELTA,0.0,0.0
1001236,1001244,DELTA,0.0,0.0
1001236,1001246,DELTA,0.0,0.0
1001236,1001206,DELTA,0.0,0.0
1001236,1001207,DELTA,0.0,0.0
1001236,1001201,DELTA,0.0,0.0
1001236,1001202,DELTA,0.0,0.0
1001236,1001230,DELTA,0.0,0.0
1001236,1001231,DELTA,0.0,0.0
1001236,1001214,DELTA,0.0,0.0
1001236,1001215,DELTA,0.0,0.0
1001236,1001254,DELTA,0.0,0.0
1001236,1001255,DELTA,0.0,0.0
1001236,1001224,DELTA,0.0,0.0
1001236,1001225,DELTA,0.0,0.0
1001236,1001210,DELTA,0.0,0.0
1001236,1001211,DELTA,0.0,0.0
1001236,1001249,DELTA,0.0,0.0
1001236,1001250,DELTA,0.0,0.0
1001236,1001238,DELTA,0.0,0.0
1001236,1001239,DELTA,0.0,0.0
1001236,1001262,DELTA,0.0,0.0
1001236,1001263,DELTA,0.0,0.0
1001236,1001256,DELTA,0.0,0.0
1001236,1001257,DELTA,0.0,0.0
1001236,1001237,DELTA,0.0,0.0
1001236,1001218,DELTA,0.0,0.0
1001236,1001258,DELTA,0.0,0.0
1001222,1001235,DELTA,0.8133463724197931,0.0
1001222,1001236,DELTA,0.7137881254632213,0.0
1001222,1001223,DELTA,0.0,0.0
1001222,1001208,DELTA,0.0,0.0
1001222,1001209,DELTA,0.0,0.0
1001222,1001247,DELTA,0.0,0.0
1001222,1001248,DELTA,0.0,0.0
1001222,1001241,DELTA,0.0,0.0
1001222,1001242,DELTA,0.0,0.0
1001222,1001226,DELTA,0.0,0.0
1001222,1001227,DELTA,0.0,0.0
1001222,1001260,DELTA,0.0,0.0
1001222,1001261,DELTA,0.0,0.0
1001222,1001251,DELTA,0.0,0.0
1001222,1001252,DELTA,0.0,0.0
1001222,1001240,DELTA,0.0,0.0
1001222,1001219,DELTA,0.0,0.0
1001222,1001259,DELTA,0.0,0.0
1001222,1001243,DELTA,0.0,0.0
1001222,1001228,DELTA,0.0,0.0
1001222,1001229,DELTA,0.0,0.0
1001222,1001212,DELTA,0.0,0.0
1001222,1001213,DELTA,0.0,0.0
1001222,1001232,DELTA,0.0,0.0
1001222,1001233,DELTA,0.0,0.0
1001222,1001216,DELTA,0.0,0.0
1001222,1001217,DELTA,0.0,0.0
1001222,1001244,DELTA,0.0,0.0
1001222,1001246,DELTA,0.0,0.0
1001222,1001206,DELTA,0.0,0.0
1001222,1001207,DELTA,0.0,0.0
1001222,1001201,DELTA,0.0,0.0
1001222,1001202,DELTA,0.0,0.0
1001222,1001230,DELTA,0.0,0.0
1001222,1001231,DELTA,0.0,0.0
1001222,1001214,DELTA,0.0,0.0
1001222,1001215,DELTA,0.0,0.0
1001222,1001254,DELTA,0.0,0.0
1001222,1001255,DELTA,0.0,0.0
1001222,1001224,DELTA,0.0,0.0
1001222,1001225,DELTA,0.0,0.0
1001222,1001210,DELTA,0.0,0.0
1001222,1001211,DELTA,0.0,0.0
1001222,1001249,DELTA,0.0,0.0
1001222,1001250,DELTA,0.0,0.0
1001222,1001238,DELTA,0.0,0.0
1001222,1001239,DELTA,0.0,0.0
1001222,1001262,DELTA,0.0,0.0
1001222,1001263,DELTA,0.0,0.0
1001222,1001256,DELTA,0.0,0.0
1001222,1001257,DELTA,0.0,0.0
1001222,1001237,DELTA,0.0,0.0
1001222,1001218,DELTA,0.0,0.0
1001222,1001258,DELTA,0.0,0.0
1001223,1001235,DELTA,0.6867787923283596,0.0
1001223,1001236,DELTA,0.7662639063574825,0.0
1001223,1001222,DELTA,0.606677594104027,0.0
1001223,1001208,DELTA,0.0,0.0
1001223,1001209,DELTA,0.0,0.0
1001223,1001247,DELTA,0.0,0.0
1001223,1001248,DELTA,0.0,0.0
1001223,1001241,DELTA,0.0,0.0
1001223,1001242,DELTA,0.0,0.0
1001223,1001226,DELTA,0.0,0.0
1001223,1001227,DELTA,0.0,0.0
1001223,1001260,DELTA,0.0,0.0
1001223,1001261,DELTA,0.0,0.0
1001223,1001251,DELTA,0.0,0.0
1001223,1001252,DELTA,0.0,0.0
1001223,1001240,DELTA,0.0,0.0
1001223,1001219,DELTA,0.0,0.0
1001223,1001259,DELTA,0.0,0.0
1001223,1001243,DELTA,0.0,0.0
1001223,1001228,DELTA,0.0,0.0
1001223,1001229,DELTA,0.0,0.0
1001223,1001212,DELTA,0.0,0.0
1001223,1001213,DELTA,0.0,0.0
1001223,1001232,DELTA,0.0,0.0
1001223,1001233,DELTA,0.0,0.0
1001223,1001216,DELTA,0.0,0.0
