sensor_id,fband_id,weight_raw,weight_adj
1001235,10,26.78711556829793,0.0
1001235,20,2.943751755807891,0.0
1001235,30,1.7295623797334494,0.0
1001235,40,0.4065982392462626,0.0
1001235,50,0.1232503663479616,0.0
1001236,10,19.13955893691913,0.0
1001236,20,2.3459902352405293,0.0
1001236,30,1.7119865246288626,0.0
1001236,40,0.3936897182897931,0.0
1001236,50,0.1334736738324402,0.0
1001222,10,2.2372764090282447,0.0
1001222,20,0.5587881287785146,0.0
1001222,30,0.5172082607472005,0.0
1001222,40,0.1769291085882655,0.0
1001222,50,0.0288957243015644,0.0
1001223,10,2.1881981577220437,0.0
1001223,20,0.5094495334192893,0.0
1001223,30,0.6190478303803408,0.0
1001223,40,0.163294032004579,0.0
1001223,50,0.030500165120137,0.0
1001208,10,1.2345825014162384,0.0
1001208,20,0.5242781563580448,0.0
1001208,30,2.174501914784796,0.0
1001208,40,0.3109221631478704,0.0
1001208,50,0.0297120681702511,0.0
1001209,10,1.4110734706735677,0.0
1001209,20,0.5597416538308926,0.0
1001209,30,1.0637009497103478,0.0
1001209,40,0.276542238602832,0.0
1001209,50,0.0288609643323696,0.0
1001247,10,2.6558558493483115,0.0
1001247,20,1.249115544576337,0.0
1001247,30,10.847589895345326,0.0
1001247,40,0.8687726927827711,0.0
1001247,50,0.064484000332163,0.0
1001248,10,2.785514515461435,0.0
1001248,20,1.3225205379120035,0.0
1001248,30,6.309569883915445,0.0
1001248,40,0.7973674059814548,0.0
1001248,50,0.0738287421611351,0.0
1001241,10,5.046436855578896,0.0
1001241,20,2.133274365051176,0.0
1001241,30,24.87967199942735,0.0
1001241,40,1.2183414734990292,0.0
1001241,50,0.1201645382139465,0.0
1001242,10,4.82228857954012,0.0
1001242,20,2.2780583243554027,0.0
1001242,30,16.90588470435055,0.0
1001242,40,1.174787619979931,0.0
1001242,50,0.2122207861708174,0.0
1001226,10,5.65112214042281,0.0
1001226,20,1.5582293539612868,0.0
1001226,30,1.9914836892844128,0.0
1001226,40,0.4505563647088647,0.0
1001226,50,0.0864459272136813,0.0
1001227,10,5.427478239953351,0.0
1001227,20,1.4367415209661842,0.0
1001227,30,1.920571077073953,0.0
1001227,40,0.4125141727035298,0.0
1001227,50,0.0912864444732787,0.0
1001260,10,5.02734010227255,0.0
1001260,20,1.692664432364526,0.0
1001260,30,3.864676914633192,0.0
1001260,40,0.6514569370733898,0.0
1001260,50,0.0787119207679497,0.0
1001261,10,4.503241162917894,0.0
1001261,20,1.5128228965170452,0.0
1001261,30,2.965998044220249,0.0
1001261,40,0.653914659736279,0.0
